quadlinear,,quadquadratic,,trilinear,,triquadratic,,quadlinear,,trilinear,,quadlinear,,quadquadratic,,trilinear,,triquadratic,,quadlinear,,quadquadratic,,trilinear,,triquadratic,
nodes,strain energy,nodes,strain energy,nodes,strain energy,nodes,strain energy,max stress,radius,max stress,radius,nu,strain energy,nu,strain energy,nu,strain energy,nu,strain energy,nu,strain energy,nu,strain energy,nu,strain energy,nu,strain energy
1944,1982.402278,1042,1987.613528,2116,1972.865181,1366,1986.996375,288444155.3,0.05,263932166.6,0.05,0.3,779.1923957,0.3,779.3525598,0.3,779.2293412,0.3,779.3375401,0.3,7.022415437,0.3,7.023812594,0.3,7.022676927,0.3,7.023761687
2407,1983.499914,1543,1987.769294,2417,1975.029542,2153,1987.491071,302543905.8,0.1,285801984.5,0.1,0.4,773.5683011,0.4,773.724005,0.4,773.5996982,0.4,773.7154971,0.4,6.314948416,0.4,6.315852502,0.4,6.314639408,0.4,6.316256356
3093,1984.551122,2629,1987.909695,3074,1977.11024,3513,1987.859802,322327083.9,0.2,314713631.2,0.2,0.45,770.2127747,0.45,770.364356,0.45,770.2390971,0.45,770.3613166,0.45,5.864691218,0.45,5.864872967,0.45,5.86302079,0.45,5.86591983
3939,1985.348072,5693,1988.007947,4100,1980.258134,8174,1988.015599,409776719.5,0.4,405116632.3,0.4,0.49,767.2777759,0.49,767.4248578,0.49,767.298438,0.49,767.4275401,0.49,5.452236166,0.49,5.45048692,0.49,5.442494225,0.49,5.45288877
5327,1986.130271,22493,1988.077078,5516,1982.019628,31164,1988.084743,673821938.1,0.6,667592873.7,0.6,0.499,766.5873015,0.499,766.7332011,0.499,766.6064492,0.499,766.7373558,0.499,5.352502647,0.499,5.348574463,0.499,5.311093773,0.499,5.352116971
7567,1986.688611,27725,1988.082028,7938,1983.782323,38239,1988.080391,,,,,0.4999,766.517652,0.4999,766.663429,0.4999,766.5366426,0.4999,766.6677354,0.4999,5.342379887,0.4999,5.337200623,0.4999,5.236909787,0.4999,5.341640906
9346,1986.939436,34758,1988.087168,9724,1984.746062,46920,1988.092967,,,,,0.49999,766.5106807,0.49999,766.6564446,0.49999,766.5296557,0.49999,766.660767,0.49999,5.341365944,0.49999,5.335527606,0.49999,5.121416192,0.49999,5.34057824
11707,1987.175077,45408,1988.091804,11914,1985.391668,63131,1988.096511,,,,,0.499999,766.5099836,0.499999,766.6557478,0.499999,766.528957,0.499999,766.6600703,0.499999,5.341266911,0.499999,5.335065456,0.499999,4.914229222,0.499999,5.34046766
15282,1987.391313,61788,1988.096062,15995,1986.015519,85462,1988.09541,,,,,0.4999999,766.5099138,0.4999999,766.6556778,0.4999999,766.5288871,0.4999999,766.6600004,0.4999999,5.342609611,0.4999999,5.334892975,0.4999999,4.628385232,0.4999999,5.340415241
20722,1987.594103,88316,1988.099905,21609,1986.551151,123752,1988.100063,,,,,0.49999999,766.509907,0.49999999,766.6556699,0.49999999,766.5288802,0.49999999,766.6599941,0.49999999,5.308807463,0.49999999,5.334843575,0.49999999,4.354297979,0.49999999,5.33999545
29654,1987.748337,,,31232,1987.013928,,,,,,,,,0.499999999,766.655669,,,0.499999999,766.6599935,,,0.499999999,5.334748715,0.5,3.950495892,0.499999999,5.335808552
46000,1987.874029,,,47036,1987.399965,,,,,,,,,0.5,766.655669,,,0.5,766.6599934,,,0.5,5.335123908,,,0.5,5.293646523
81271,1987.976589,,,61686,1987.563455,,,,,,,,,,,,,,,,,,,,,,
116844,1988.015103,,,,,,,,,,,,,,,,,,,,,,,,,,
